exposure,outcome,outcome_group,label,stratification,sex,beta,p,sd_x,sd_y,rr_basis,rr,evalue
HAVEBFF-present-vs-absent (female),H4BMI,cardiometabolic,HAVEBFF+ vs HAVEBFF- (female) -> H4BMI,BIO_SEX × HAVEBFF,female,-8.2946593908279,0.028203162353238165,0.5,7.488129839207538,chinn-2000,0.6041051406357054,2.6968844561112
HAVEBFF-present-vs-absent (female),H4BMICLS,cardiometabolic,HAVEBFF+ vs HAVEBFF- (female) -> H4BMICLS,BIO_SEX × HAVEBFF,female,-1.1935876977214632,0.07278966180300861,0.5,1.2892843767538902,chinn-2000,0.6562406025114275,2.4172688767771198
HAVEBFF-present-vs-absent (female),H4DBP,cardiometabolic,HAVEBFF+ vs HAVEBFF- (female) -> H4DBP,BIO_SEX × HAVEBFF,female,-8.28727381899239,0.1883623952764779,0.5,10.350684979451811,chinn-2000,0.6946857754872409,2.234898882221434
HAVEBFF-present-vs-absent (female),H4SBP,cardiometabolic,HAVEBFF+ vs HAVEBFF- (female) -> H4SBP,BIO_SEX × HAVEBFF,female,-11.317865569386214,0.10991483513044153,0.5,13.723490712305665,chinn-2000,0.687123038386521,2.269395683684808
HAVEBFF-present-vs-absent (female),H4WAIST,cardiometabolic,HAVEBFF+ vs HAVEBFF- (female) -> H4WAIST,BIO_SEX × HAVEBFF,female,-19.12066552854604,0.023338577633443824,0.5,17.62916016470102,chinn-2000,0.6104889876602041,2.660339836453087
HAVEBFF-present-vs-absent (female),H5EC1,ses,HAVEBFF+ vs HAVEBFF- (female) -> H5EC1,BIO_SEX × HAVEBFF,female,-0.5547206453930684,0.4451457571608519,0.5,3.261990749766246,chinn-2000,0.9255423242975159,1.3752686449171554
HAVEBFF-present-vs-absent (female),H5ID1,functional,HAVEBFF+ vs HAVEBFF- (female) -> H5ID1,BIO_SEX × HAVEBFF,female,0.9827412497773049,0.01862343137529443,0.5,0.9817523284987635,chinn-2000,1.5768959443299917,2.530680445627001
HAVEBFF-present-vs-absent (female),H5ID16,functional,HAVEBFF+ vs HAVEBFF- (female) -> H5ID16,BIO_SEX × HAVEBFF,female,1.0350764272358077,0.14261552685024514,0.5,1.343194908834103,chinn-2000,1.419956920208172,2.1921749820526912
HAVEBFF-present-vs-absent (female),H5ID4,functional,HAVEBFF+ vs HAVEBFF- (female) -> H5ID4,BIO_SEX × HAVEBFF,female,0.4202526930998707,0.16607913229274018,0.5,0.5519349622758285,chinn-2000,1.4140313801161857,2.179180622968258
HAVEBFF-present-vs-absent (female),H5LM5,ses,HAVEBFF+ vs HAVEBFF- (female) -> H5LM5,BIO_SEX × HAVEBFF,female,0.12719938674276343,0.14364983825946376,0.5,0.39783067041437103,chinn-2000,1.1565926110967757,1.5821673483015135
HAVEBFF-present-vs-absent (female),H5MN1,mental_health,HAVEBFF+ vs HAVEBFF- (female) -> H5MN1,BIO_SEX × HAVEBFF,female,1.269069708235803,0.02310760715106408,0.5,1.052259652418585,chinn-2000,1.7310865433038065,2.8560639106777974
HAVEBFF-present-vs-absent (female),H5MN2,mental_health,HAVEBFF+ vs HAVEBFF- (female) -> H5MN2,BIO_SEX × HAVEBFF,female,-1.768832263081582,7.175198532571869e-05,0.5,0.9449202590801405,chinn-2000,0.42667535430375614,4.118311556820974
HAVEBFF-present-vs-absent (female),W4_COG_COMP,cognitive,HAVEBFF+ vs HAVEBFF- (female) -> W4_COG_COMP,BIO_SEX × HAVEBFF,female,-0.10492144187280761,0.7580372854723101,0.5,0.7696018174269023,chinn-2000,0.9398536461958821,1.3249377079251128
HAVEBFF-present-vs-absent (male),H4BMI,cardiometabolic,HAVEBFF+ vs HAVEBFF- (male) -> H4BMI,BIO_SEX × HAVEBFF,male,-3.837851795822907,0.26130000155015365,0.5,7.488129839207538,chinn-2000,0.7919961434891545,1.83848672745425
HAVEBFF-present-vs-absent (male),H4BMICLS,cardiometabolic,HAVEBFF+ vs HAVEBFF- (male) -> H4BMICLS,BIO_SEX × HAVEBFF,male,-0.5939006323329883,0.3217586724033823,0.5,1.2892843767538902,chinn-2000,0.8109143420834075,1.7694098287904096
HAVEBFF-present-vs-absent (male),H4DBP,cardiometabolic,HAVEBFF+ vs HAVEBFF- (male) -> H4DBP,BIO_SEX × HAVEBFF,male,7.18086685255021,0.1133417924416491,0.5,10.350684979451811,chinn-2000,1.3711636093339366,2.084554129475417
HAVEBFF-present-vs-absent (male),H4SBP,cardiometabolic,HAVEBFF+ vs HAVEBFF- (male) -> H4SBP,BIO_SEX × HAVEBFF,male,15.179203778061122,0.011060573727723177,0.5,13.723490712305665,chinn-2000,1.6541113550897677,2.694290676143181
HAVEBFF-present-vs-absent (male),H4WAIST,cardiometabolic,HAVEBFF+ vs HAVEBFF- (male) -> H4WAIST,BIO_SEX × HAVEBFF,male,-11.621057797850497,0.152349450367806,0.5,17.62916016470102,chinn-2000,0.7408672519051405,2.036870743956479
HAVEBFF-present-vs-absent (male),H5EC1,ses,HAVEBFF+ vs HAVEBFF- (male) -> H5EC1,BIO_SEX × HAVEBFF,male,0.3542160122259759,0.5989509709721617,0.5,3.261990749766246,chinn-2000,1.0506488786580959,1.2813308839541708
HAVEBFF-present-vs-absent (male),H5ID1,functional,HAVEBFF+ vs HAVEBFF- (male) -> H5ID1,BIO_SEX × HAVEBFF,male,0.4988994202955337,0.393099377086386,0.5,0.9817523284987635,chinn-2000,1.260134465938364,1.8326765223040093
HAVEBFF-present-vs-absent (male),H5ID16,functional,HAVEBFF+ vs HAVEBFF- (male) -> H5ID16,BIO_SEX × HAVEBFF,male,0.2033159602582495,0.7893828595311152,0.5,1.343194908834103,chinn-2000,1.0712992672282906,1.3476737463966497
HAVEBFF-present-vs-absent (male),H5ID4,functional,HAVEBFF+ vs HAVEBFF- (male) -> H5ID4,BIO_SEX × HAVEBFF,male,-0.1347665581389006,0.6825500837469498,0.5,0.5519349622758285,chinn-2000,0.8948511894481275,1.479873512940844
HAVEBFF-present-vs-absent (male),H5LM5,ses,HAVEBFF+ vs HAVEBFF- (male) -> H5LM5,BIO_SEX × HAVEBFF,male,-0.09536191172159192,0.21783027809020306,0.5,0.39783067041437103,chinn-2000,0.8966715283999481,1.473725239789504
HAVEBFF-present-vs-absent (male),H5MN1,mental_health,HAVEBFF+ vs HAVEBFF- (male) -> H5MN1,BIO_SEX × HAVEBFF,male,-0.7578422636625508,0.22416686409866715,0.5,1.052259652418585,chinn-2000,0.720584131359218,2.121331785238044
HAVEBFF-present-vs-absent (male),H5MN2,mental_health,HAVEBFF+ vs HAVEBFF- (male) -> H5MN2,BIO_SEX × HAVEBFF,male,0.806432460990695,0.1600377177334733,0.5,0.9449202590801405,chinn-2000,1.4744942694143217,2.3109385778541323
HAVEBFF-present-vs-absent (male),W4_COG_COMP,cognitive,HAVEBFF+ vs HAVEBFF- (male) -> W4_COG_COMP,BIO_SEX × HAVEBFF,male,0.17906925706725563,0.6189597459454173,0.5,0.7696018174269023,chinn-2000,1.1116755688111193,1.4640205722954973
HAVEBMF-present-vs-absent (female),H4BMI,cardiometabolic,HAVEBMF+ vs HAVEBMF- (female) -> H4BMI,BIO_SEX × HAVEBMF,female,-4.008199824297623,0.2583530716359479,0.5,7.488129839207538,chinn-2000,0.783840607778312,1.868912421878489
HAVEBMF-present-vs-absent (female),H4BMICLS,cardiometabolic,HAVEBMF+ vs HAVEBMF- (female) -> H4BMICLS,BIO_SEX × HAVEBMF,female,-0.6667095948726374,0.28354097770523357,0.5,1.2892843767538902,chinn-2000,0.7903433676704065,1.8446194793542081
HAVEBMF-present-vs-absent (female),H4DBP,cardiometabolic,HAVEBMF+ vs HAVEBMF- (female) -> H4DBP,BIO_SEX × HAVEBMF,female,-6.039025195966843,0.18956984227234308,0.5,10.350684979451811,chinn-2000,0.7668484022792874,1.9337038927878818
HAVEBMF-present-vs-absent (female),H4SBP,cardiometabolic,HAVEBMF+ vs HAVEBMF- (female) -> H4SBP,BIO_SEX × HAVEBMF,female,-8.687860108094185,0.12624310569071517,0.5,13.723490712305665,chinn-2000,0.7497282106332028,2.0010874531056655
HAVEBMF-present-vs-absent (female),H4WAIST,cardiometabolic,HAVEBMF+ vs HAVEBMF- (female) -> H4WAIST,BIO_SEX × HAVEBMF,female,-7.764886915456003,0.3316026624730255,0.5,17.62916016470102,chinn-2000,0.8183968340193982,1.7426133269646245
HAVEBMF-present-vs-absent (female),H5EC1,ses,HAVEBMF+ vs HAVEBMF- (female) -> H5EC1,BIO_SEX × HAVEBMF,female,0.15988518744859626,0.8147468874362056,0.5,3.261990749766246,chinn-2000,1.0225521858946856,1.1744099712838911
HAVEBMF-present-vs-absent (female),H5ID1,functional,HAVEBMF+ vs HAVEBMF- (female) -> H5ID1,BIO_SEX × HAVEBMF,female,0.21979950651022628,0.6298478669628578,0.5,0.9817523284987635,chinn-2000,1.1072368886328197,1.451818720592178
HAVEBMF-present-vs-absent (female),H5ID16,functional,HAVEBMF+ vs HAVEBMF- (female) -> H5ID16,BIO_SEX × HAVEBMF,female,0.14457690364886044,0.8391280991191787,0.5,1.343194908834103,chinn-2000,1.0501937206563818,1.2797871226733228
HAVEBMF-present-vs-absent (female),H5ID4,functional,HAVEBMF+ vs HAVEBMF- (female) -> H5ID4,BIO_SEX × HAVEBMF,female,0.3792872580002258,0.14047727889254746,0.5,0.5519349622758285,chinn-2000,1.3670757668879503,2.07546858554461
HAVEBMF-present-vs-absent (female),H5LM5,ses,HAVEBMF+ vs HAVEBMF- (female) -> H5LM5,BIO_SEX × HAVEBMF,female,0.0004828312367137766,0.9954994968578335,0.5,0.39783067041437103,chinn-2000,1.000552367873616,1.0240613658081026
HAVEBMF-present-vs-absent (female),H5MN1,mental_health,HAVEBMF+ vs HAVEBMF- (female) -> H5MN1,BIO_SEX × HAVEBMF,female,0.003136277038126689,0.995133567677214,0.5,1.052259652418585,chinn-2000,1.0013570548799242,1.038220267950292
HAVEBMF-present-vs-absent (female),H5MN2,mental_health,HAVEBMF+ vs HAVEBMF- (female) -> H5MN2,BIO_SEX × HAVEBMF,female,-0.3901080995013002,0.37436009572773266,0.5,0.9449202590801405,chinn-2000,0.8287425918503896,1.7059972524536389
HAVEBMF-present-vs-absent (female),W4_COG_COMP,cognitive,HAVEBMF+ vs HAVEBMF- (female) -> W4_COG_COMP,BIO_SEX × HAVEBMF,female,-0.6648551032717286,0.026854660402210406,0.5,0.7696018174269023,chinn-2000,0.674980018857764,2.326150690443056
HAVEBMF-present-vs-absent (male),H4BMI,cardiometabolic,HAVEBMF+ vs HAVEBMF- (male) -> H4BMI,BIO_SEX × HAVEBMF,male,0.5578458749793356,0.8665587746416359,0.5,7.488129839207538,chinn-2000,1.034477322778947,1.2233317867583582
HAVEBMF-present-vs-absent (male),H4BMICLS,cardiometabolic,HAVEBMF+ vs HAVEBMF- (male) -> H4BMICLS,BIO_SEX × HAVEBMF,male,0.22612370212506638,0.6949123045040424,0.5,1.2892843767538902,chinn-2000,1.0830716006131966,1.3830257495120493
HAVEBMF-present-vs-absent (male),H4DBP,cardiometabolic,HAVEBMF+ vs HAVEBMF- (male) -> H4DBP,BIO_SEX × HAVEBMF,male,-3.1558721067835336,0.45557212169311456,0.5,10.350684979451811,chinn-2000,0.870465436905207,1.5622781172900218
HAVEBMF-present-vs-absent (male),H4SBP,cardiometabolic,HAVEBMF+ vs HAVEBMF- (male) -> H4SBP,BIO_SEX × HAVEBMF,male,-2.29050700817497,0.7122112907266911,0.5,13.723490712305665,chinn-2000,0.9268705471944207,1.3706602099078353
HAVEBMF-present-vs-absent (male),H4WAIST,cardiometabolic,HAVEBMF+ vs HAVEBMF- (male) -> H4WAIST,BIO_SEX × HAVEBMF,male,3.3197141569002753,0.6844858634732773,0.5,17.62916016470102,chinn-2000,1.0894578622733158,1.4016446195129963
HAVEBMF-present-vs-absent (male),H5EC1,ses,HAVEBMF+ vs HAVEBMF- (male) -> H5EC1,BIO_SEX × HAVEBMF,male,-0.567707577603894,0.3984372361866231,0.5,3.261990749766246,chinn-2000,0.923867233979017,1.3810660444821241
HAVEBMF-present-vs-absent (male),H5ID1,functional,HAVEBMF+ vs HAVEBMF- (male) -> H5ID1,BIO_SEX × HAVEBMF,male,1.4043720141688105,0.016663499740405152,0.5,0.9817523284987635,chinn-2000,1.9172005140639246,3.2432688746935914
HAVEBMF-present-vs-absent (male),H5ID16,functional,HAVEBMF+ vs HAVEBMF- (male) -> H5ID16,BIO_SEX × HAVEBMF,male,1.3910608939189566,0.05899974338517677,0.5,1.343194908834103,chinn-2000,1.6019383154357456,2.5839098277645753
HAVEBMF-present-vs-absent (male),H5ID4,functional,HAVEBMF+ vs HAVEBMF- (male) -> H5ID4,BIO_SEX × HAVEBMF,male,0.5738802843527262,0.08870353915449036,0.5,0.5519349622758285,chinn-2000,1.604947618879746,2.5902948878504475
HAVEBMF-present-vs-absent (male),H5LM5,ses,HAVEBMF+ vs HAVEBMF- (male) -> H5LM5,BIO_SEX × HAVEBMF,male,0.07201704222849092,0.40687834711924165,0.5,0.39783067041437103,chinn-2000,1.085853250023625,1.391179355300007
HAVEBMF-present-vs-absent (male),H5MN1,mental_health,HAVEBMF+ vs HAVEBMF- (male) -> H5MN1,BIO_SEX × HAVEBMF,male,0.8013887380930678,0.22669576742877906,0.5,1.052259652418585,chinn-2000,1.4141416213250668,2.1794225526429862
HAVEBMF-present-vs-absent (male),H5MN2,mental_health,HAVEBMF+ vs HAVEBMF- (male) -> H5MN2,BIO_SEX × HAVEBMF,male,-0.05513905902548988,0.9269358052557082,0.5,0.9449202590801405,chinn-2000,0.9737986941440914,1.1931297313308757
HAVEBMF-present-vs-absent (male),W4_COG_COMP,cognitive,HAVEBMF+ vs HAVEBMF- (male) -> W4_COG_COMP,BIO_SEX × HAVEBMF,male,0.3068586177301409,0.4073698546487192,0.5,0.7696018174269023,chinn-2000,1.1989178550276312,1.6872683112334432
