outcome,outcome_label,wave,quintile,beta_vs_q1,se,p,ci_lo,ci_hi,n_total
H4TO5,S28Q5 SMOKING DAYS PAST 30 DAYS—W4,W4,q2,-0.6940010028593127,0.7923316088593142,0.38296061403417436,-2.263904520688755,0.8759025149701296,3252
H4TO5,S28Q5 SMOKING DAYS PAST 30 DAYS—W4,W4,q3,-0.3999315652544637,0.8579274214577373,0.6420062419149206,-2.0998047773403297,1.299941646831402,3252
H4TO5,S28Q5 SMOKING DAYS PAST 30 DAYS—W4,W4,q4,-1.4638689318094802,0.7980284251275717,0.06925549258644635,-3.0450599608273765,0.11732209720841613,3252
H4TO5,S28Q5 SMOKING DAYS PAST 30 DAYS—W4,W4,q5,-0.9858706046482102,0.8503207139461697,0.24875479797964448,-2.670672100866648,0.6989308915702277,3252
H4TO39,S28Q39 DRINKING DAYS PAST 30 DAYS—W4,W4,q2,0.16786169778719073,0.11098625975935594,0.13323485565389967,-0.05204334913853739,0.38776674471291883,3273
H4TO39,S28Q39 DRINKING DAYS PAST 30 DAYS—W4,W4,q3,0.28619105571157843,0.11347219275806272,0.01307006013836694,0.06136045120854175,0.5110216602146151,3273
H4TO39,S28Q39 DRINKING DAYS PAST 30 DAYS—W4,W4,q4,0.3428541642876417,0.10863985644208915,0.00205565798047365,0.12759821476107824,0.5581101138142052,3273
H4TO39,S28Q39 DRINKING DAYS PAST 30 DAYS—W4,W4,q5,0.44256429399664543,0.11662834584087597,0.0002402942786277478,0.2114801767318876,0.6736484112614033,3273
H4TO70,S28Q70 MARIJUANA DAYS PAST 12 MONTHS—W4,W4,q2,-0.029918714067112856,0.13657780138117,0.8270021246450752,-0.30053012026153725,0.2406926921273115,3275
H4TO70,S28Q70 MARIJUANA DAYS PAST 12 MONTHS—W4,W4,q3,-0.12696063080778908,0.1185089911552608,0.2863303134258392,-0.3617710056922482,0.10784974407667003,3275
H4TO70,S28Q70 MARIJUANA DAYS PAST 12 MONTHS—W4,W4,q4,-0.173822918946912,0.10706741619394135,0.10729594579027144,-0.38596327968521826,0.03831744179139429,3275
H4TO70,S28Q70 MARIJUANA DAYS PAST 12 MONTHS—W4,W4,q5,-0.12629578267591834,0.11894683954318898,0.2906181843933153,-0.36197369801540735,0.10938213266357069,3275
H4TO65B,S28Q65B EVER USED MARIJUANA—W4,W4,q2,0.05655939176143693,0.03607011464755932,0.1196927814834391,-0.014908916760594082,0.12802770028346794,3264
H4TO65B,S28Q65B EVER USED MARIJUANA—W4,W4,q3,0.026576331891871335,0.02825931758530502,0.34901330566723354,-0.02941588347929036,0.08256854726303303,3264
H4TO65B,S28Q65B EVER USED MARIJUANA—W4,W4,q4,0.0881089387975122,0.03046688148466775,0.004600452335833238,0.02774271853661476,0.14847515905840966,3264
H4TO65B,S28Q65B EVER USED MARIJUANA—W4,W4,q5,0.05886228262390564,0.040741220485493966,0.15131038793939905,-0.021861223349713257,0.13958578859752452,3264
H4TO65C,S28Q65C EVER USED COCAINE—W4,W4,q2,0.031505723686293736,0.02617651393059987,0.23128683812867196,-0.020359683227513817,0.08337113060010129,3267
H4TO65C,S28Q65C EVER USED COCAINE—W4,W4,q3,0.08190059746033007,0.02589188692684497,0.0020089753793781206,0.030599142469515166,0.13320205245114497,3267
H4TO65C,S28Q65C EVER USED COCAINE—W4,W4,q4,0.05295484597957932,0.0224046519952481,0.019823197786440008,0.008562899994082558,0.09734679196507609,3267
H4TO65C,S28Q65C EVER USED COCAINE—W4,W4,q5,0.03531491444556875,0.024132514592058334,0.14616569401533608,-0.012500569789226791,0.08313039868036429,3267
H5TO2,S6Q2 SMOKING DAYS PAST 30 DAYS—W5,W5,q2,-1.1312305211965525,0.9128865518101077,0.21786944987632514,-2.939998205132718,0.677537162739613,2428
H5TO2,S6Q2 SMOKING DAYS PAST 30 DAYS—W5,W5,q3,0.15397019488911862,1.0102021507628256,0.8791336782092712,-1.8476158739597681,2.1555562637380055,2428
H5TO2,S6Q2 SMOKING DAYS PAST 30 DAYS—W5,W5,q4,-1.2007146641326782,0.9767679688269544,0.22154571518522984,-3.136055187240383,0.7346258589750267,2428
H5TO2,S6Q2 SMOKING DAYS PAST 30 DAYS—W5,W5,q5,-1.1755219217926518,0.9428414250726946,0.21507695429705864,-3.0436413473294985,0.6925975037441952,2428
H5TO12,S6Q12 ALCOHOL DAYS PAST 12 MONTHS—W5,W5,q2,0.2940126634796122,0.1356924185829005,0.03237191226573391,0.025155529807055377,0.562869797152169,2440
H5TO12,S6Q12 ALCOHOL DAYS PAST 12 MONTHS—W5,W5,q3,0.3688667097355817,0.11649008416246362,0.0019879952027494437,0.13805654026350764,0.5996768792076558,2440
H5TO12,S6Q12 ALCOHOL DAYS PAST 12 MONTHS—W5,W5,q4,0.5890295303279123,0.10615017168662005,1.9473357928985746e-07,0.3787065720037625,0.799352488652062,2440
H5TO12,S6Q12 ALCOHOL DAYS PAST 12 MONTHS—W5,W5,q5,0.6798742707201625,0.12580537485304621,3.711757431062543e-07,0.4306070468263884,0.9291414946139366,2440
H5TO15,S6Q15 BINGE-DRINKING DAYS PAST 12 MONTHS—W5,W5,q2,0.11053431083205113,0.13153309420472037,0.40250055866932244,-0.1500816547486517,0.37115027641275394,2435
H5TO15,S6Q15 BINGE-DRINKING DAYS PAST 12 MONTHS—W5,W5,q3,0.14809900639386325,0.10079870228100896,0.14456694668333064,-0.05162070128183585,0.34781871406956233,2435
H5TO15,S6Q15 BINGE-DRINKING DAYS PAST 12 MONTHS—W5,W5,q4,0.23559996686302767,0.10908680115714248,0.03292439152457829,0.01945845367524965,0.4517414800508057,2435
H5TO15,S6Q15 BINGE-DRINKING DAYS PAST 12 MONTHS—W5,W5,q5,0.5022035136300557,0.11947636256674822,5.311125691711484e-05,0.26547641629635826,0.738930610963753,2435
