exposure,outcome,outcome_label,outcome_group,adj_tier,n,beta,se,t,p,ci_lo,ci_hi,sig
IDGX2,W4_COG_COMP,W4 cognitive composite,cognitive,L0+L1+AHPVT,3268,0.009263823101364678,0.003763713643211335,2.4613517338318154,0.015366830758031594,0.0018065069694403243,0.01672113923328903,True
IDGX2,H4BMI,S27 BMI—W4,cardiometabolic,L0+L1+AHPVT,3234,-0.19985610944848214,0.031856308728864954,-6.273674428179835,6.828839480303309e-09,-0.26297530168985317,-0.13673691720711112,True
IDGX2,H4WAIST,S27 MEASURED WAIST (CM)—W4,cardiometabolic,L0+L1+AHPVT,3250,-0.5138444657946202,0.06876838853500078,-7.4721027603124766,1.867217639823543e-11,-0.6501002125923336,-0.37758871899690677,True
IDGX2,H4SBP,S27 SYSTOLIC BLOOD PRESSURE—W4,cardiometabolic,L0+L1+AHPVT,3197,-0.08417229006833396,0.07567934703513746,-1.1122227313781299,0.2684240508286665,-0.234121215251998,0.06577663511533008,False
IDGX2,H4DBP,S27 DIASTOLIC BLOOD PRESSURE—W4,cardiometabolic,L0+L1+AHPVT,3197,-0.09307794548019771,0.053818919614208136,-1.7294651425077145,0.08648093000053218,-0.19971323591088327,0.013557344950487854,False
IDGX2,H4BMICLS,S27 BMI CLASS—W4,cardiometabolic,L0+L1+AHPVT,3234,-0.03227963373661734,0.0055184732919598125,-5.849377541365912,4.973692528082508e-08,-0.043213781178454175,-0.021345486294780506,True
IDGX2,H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS—W5,mental_health,L0+L1,2489,-0.012348608765194802,0.006614029505468101,-1.8670326092415643,0.06451196571895394,-0.025453460410089564,0.0007562428796999612,False
IDGX2,H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS—W5,mental_health,L0+L1,2482,0.010664968565486085,0.005465719219367723,1.9512470614470778,0.05352504068207517,-0.000164653443796842,0.02149459057476901,False
IDGX2,H5ID1,S5Q1 HOW IS GEN PHYSICAL HEALTH—W5,functional,L0+L1,2542,-0.02198122688897557,0.004720332723036975,-4.656711333440337,8.89307718157705e-06,-0.031333961103239355,-0.012628492674711786,True
IDGX2,H5ID4,S5Q4 LIMIT CLIMB SEV. FLIGHT STAIRS—W5,functional,L0+L1,2542,-0.01047121059570948,0.0028790071163072315,-3.6370909041518504,0.0004183106759728885,-0.01617559415078894,-0.004766827040630022,True
IDGX2,H5ID16,S5Q16 HOW OFTEN TROUBLE SLEEPING—W5,functional,L0+L1,2541,0.004762501568798485,0.008711506968428977,0.5466908981486298,0.5856786337267658,-0.012498232803545216,0.022023235941142187,False
IDGX2,H5LM5,S3Q5 CURRENTLY WORK—W5,ses,L0+L1,2537,-0.006260271204972081,0.0022371010190646596,-2.798385567581353,0.006048501457626119,-0.010692800111177857,-0.0018277422987663045,True
IDGX2,H5EC1,S4Q1 INCOME PERS EARNINGS [W4–W5]—W5,ses,L0+L1,2515,0.06719564861075492,0.018758151082889474,3.5822106514563914,0.000505512290474433,0.030028776755926266,0.10436252046558356,True
ODGX2,W4_COG_COMP,W4 cognitive composite,cognitive,L0+L1+AHPVT,3268,0.014233524389399663,0.004081139294292244,3.4876350359582755,0.0006973343189320301,0.006147270019104834,0.022319778759694493,True
ODGX2,H4BMI,S27 BMI—W4,cardiometabolic,L0+L1+AHPVT,3234,-0.008641091267448428,0.05466200450832304,-0.1580822244843345,0.8746766757574058,-0.11694684634488123,0.09966466380998437,False
ODGX2,H4WAIST,S27 MEASURED WAIST (CM)—W4,cardiometabolic,L0+L1+AHPVT,3250,-0.15332415992473744,0.12258977474252145,-1.250709206756993,0.21364713491423296,-0.3962200843916046,0.08957176454212973,False
ODGX2,H4SBP,S27 SYSTOLIC BLOOD PRESSURE—W4,cardiometabolic,L0+L1+AHPVT,3197,-0.0447261728744737,0.08852658439363795,-0.5052287194951124,0.6143909667193328,-0.2201302520592965,0.13067790631034912,False
ODGX2,H4DBP,S27 DIASTOLIC BLOOD PRESSURE—W4,cardiometabolic,L0+L1+AHPVT,3197,-0.004949663278347866,0.06718951253316202,-0.07366720030756158,0.9414066044962289,-0.13807706966683336,0.12817774311013763,False
ODGX2,H4BMICLS,S27 BMI CLASS—W4,cardiometabolic,L0+L1+AHPVT,3234,0.0016253413595055091,0.009066962232682822,0.17925974739883604,0.8580576448592769,-0.016339682054880175,0.01959036477389119,False
ODGX2,H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS—W5,mental_health,L0+L1,2489,-0.016731018335512878,0.008815143922072848,-1.89798583930308,0.06027218358672176,-0.03419709604678619,0.0007350593757604329,False
ODGX2,H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS—W5,mental_health,L0+L1,2482,0.00884837421452217,0.007231532714058989,1.2235821318100162,0.22367789279532166,-0.005479980883470263,0.023176729312514605,False
ODGX2,H5ID1,S5Q1 HOW IS GEN PHYSICAL HEALTH—W5,functional,L0+L1,2542,-0.018416616833183803,0.007304507297429026,-2.521267497352753,0.01310020190003821,-0.03288956171386797,-0.003943671952499639,True
ODGX2,H5ID4,S5Q4 LIMIT CLIMB SEV. FLIGHT STAIRS—W5,functional,L0+L1,2542,-0.009385367418999471,0.0038501867386056413,-2.4376395370366932,0.01635645095849685,-0.017014018904883212,-0.0017567159331157286,True
ODGX2,H5ID16,S5Q16 HOW OFTEN TROUBLE SLEEPING—W5,functional,L0+L1,2541,-0.004778708186160335,0.010804396057685035,-0.4422929482265044,0.6591301596974505,-0.026186234011618133,0.01662881763929746,False
ODGX2,H5LM5,S3Q5 CURRENTLY WORK—W5,ses,L0+L1,2537,-0.004213685658480572,0.003058851672130915,-1.3775384066090248,0.1710923660343229,-0.010274408147528025,0.0018470368305668807,False
ODGX2,H5EC1,S4Q1 INCOME PERS EARNINGS [W4–W5]—W5,ses,L0+L1,2515,0.09930797588317308,0.02505300172566702,3.963915261356933,0.00013019207968547732,0.04966866438588901,0.14894728738045715,True
